horizon_min,RMSE,MAE,bias,P90AE,corr_spatial_mean,skill_RMSE_vs_ref,skill_MAE_vs_ref,model
60,56.99153085435637,33.61828861351001,-2.8500168339969205,93.37891845703126,0.9937684311609524,0.03291049358961018,0.04040694950750512,extra_trees_residual_csi
15,20.92770391524506,12.345514388693465,-1.5112815975561473,33.852514648437506,0.9993560558182129,0.0294310261662023,0.023850508848793917,random_forest_residual_csi
30,35.43565835931515,20.999219761013677,-2.0482194296629954,57.53522949218754,0.9977729226882857,0.03336917207048862,0.030050966373425303,random_forest_residual_csi
45,48.32740976429908,28.68333325773407,-2.294610029071917,78.68427734375001,0.9954373291902253,0.030817681835123234,0.03144137323272389,random_forest_residual_csi
60,57.111900678081895,33.86734294327163,-2.387669499872762,93.56276855468751,0.9935184251935826,0.03086793758754547,0.03329799738974992,random_forest_residual_csi
15,20.94138664681384,12.426871708648449,-1.7332224008174826,33.80575561523439,0.9993721736724444,0.02879645895368177,0.017417653645270148,hist_gb_residual_csi
30,35.50099726388351,21.253789205870476,-2.2397437274007204,57.659014892578135,0.9977597742916513,0.031586826197907425,0.01829246344618196,hist_gb_residual_csi
45,48.43869625206985,29.02369478031964,-2.974734531482593,78.75792236328128,0.9953548680442637,0.028585886323546084,0.019948284686921447,hist_gb_residual_csi
60,57.36333668387456,34.408942257290484,-3.336802252482632,94.0343688964844,0.9931881912503226,0.026601319037550142,0.017838705459132798,hist_gb_residual_csi
15,20.351014193013217,12.169119891686991,-1.6906984570291035,32.661169433593756,0.9993964709976698,0.05617629904438581,0.03779787410823077,hist_gb_patch2x2_residual_csi
30,34.35452944228136,20.627276347453677,-2.230473965751494,55.59510498046884,0.9979519328673261,0.06286072347823013,0.047230945375124955,hist_gb_patch2x2_residual_csi
45,47.09780469950868,28.24450866207215,-2.228399653216394,76.42746429443359,0.9959220193708759,0.05547680370681074,0.046259293589013484,hist_gb_patch2x2_residual_csi
60,56.08108039275568,33.633428866265106,-2.7046280302808503,91.66649475097657,0.9941126632766768,0.04835993097655522,0.03997478945636401,hist_gb_patch2x2_residual_csi
